codigo_estacion,nombre_estacion,latitud,altura_msnm,anio,mes,dia,temp_min,temp_max
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,1,17.1,18.4
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,2,17.4,20.2
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,3,17.6,20.1
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,4,17.5,20.0
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,5,17.0,19.9
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,6,17.9,20.4
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,7,18.1,20.8
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,8,18.1,21.2
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,9,18.4,21.0
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,10,17.8,20.8
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,11,16.7,19.4
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,12,17.7,20.1
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,13,17.8,20.6
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,14,17.0,20.4
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,15,14.4,20.3
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,16,17.8,21.0
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,17,18.3,20.9
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,18,18.3,21.1
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,19,17.6,20.3
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,20,17.6,20.5
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,21,15.6,19.8
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,22,14.2,20.4
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,23,18.2,21.2
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,24,17.7,21.1
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,25,18.5,21.3
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,26,17.8,20.8
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,27,18.0,20.6
180005,"Chacalluta, Arica Ap.",18&deg 21' 20'' S,50,2023,8,28,17.7,20.3
